headline,description,link,date
Will Automation Replace Jobs? Port Workers May Strike Over It.,"A contract covering longshore workers on the East and Gulf Coasts will expire at the end of September, but talks have been stalled over the use of equipment that can function without human operators.",https://www.nytimes.com/2024/09/02/business/economy/port-workers-robots-automation-strike.html?searchResultPosition=14,Sept. 2
U.S. Finance Agency Lends to Sri Lankan Port to Counter Chinese Influence,"The U.S. International Development Finance Corporation is joining forces with the Adani Group, strengthening ties to India and an embattled conglomerate.",https://www.nytimes.com/2023/11/08/business/sri-lanka-port-dfc-adani.html?searchResultPosition=15,"Nov. 8, 2023"
"Bus drivers, port workers, a dance company: Here’s who is striking in Israel.",,https://www.nytimes.com/live/2024/09/01/world/hostages-strike-israel-gaza-war/bus-drivers-port-workers-a-dance-company-heres-who-is-striking-in-israel?searchResultPosition=16,Sept. 2
New U.S. sanctions aim to disrupt the flow of Iranian funds to Yemen’s Houthi militia.,,https://www.nytimes.com/live/2023/12/28/world/israel-hamas-war-gaza-news/new-us-sanctions-aim-to-disrupt-the-flow-of-iranian-funds-to-yemens-houthi-militia?searchResultPosition=17,"Dec. 28, 2023"
Automakers Are Rerouting Car Shipments Away From Baltimore,The city’s port ranks first in the country for the volume of automobiles and light trucks it handles.,https://www.nytimes.com/2024/03/26/us/baltimore-bridge-collapse-automakers.html?searchResultPosition=18,March 26
How a Tuesday Rush Hour Became a Doom Loop for New Jersey Commuters,"On Tuesday morning, trains and buses from New Jersey were stymied by a power outage and traffic accidents.",https://www.nytimes.com/2024/09/10/nyregion/njtransit-amtrak-lincoln-tunnel.html?searchResultPosition=19,Sept. 10
"Drought Saps the Panama Canal, Disrupting Global Trade","The number of ships that can travel through the vital route has fallen sharply this year because of a lack of water for the locks, raising costs and slowing deliveries.",https://www.nytimes.com/2023/11/01/business/economy/panama-canal-drought-shipping.html?searchResultPosition=20,"Nov. 1, 2023"
"Drought Saps the Panama Canal, Disrupting Global Trade","The number of ships that can travel through the vital route has fallen sharply this year because of a lack of water for the locks, raising costs and slowing deliveries.",https://www.nytimes.com/2023/11/01/business/economy/panama-canal-drought-shipping.html?searchResultPosition=21,"Nov. 1, 2023"
Should We Be Seeing Red Over the Red Sea?,"It’s a major choke point, but some perspective is in order.",https://www.nytimes.com/2024/01/16/opinion/red-sea-houthis-shipping-inflation.html?searchResultPosition=22,Jan. 16
What went right and wrong during the 2nd Starship test flight.,,https://www.nytimes.com/live/2024/03/14/science/starship-spacex-launch/what-went-right-and-wrong-during-the-2nd-starship-test-flight?searchResultPosition=23,March 14
"Trains, Trucks and Tractors: The Race to Reroute Goods From Baltimore","Since the collapse of the Key Bridge, other East Coast ports have absorbed the cargo previously handled in Baltimore, but some parts of the supply chain like trucking are struggling.",https://www.nytimes.com/2024/04/17/business/ports-truckers-baltimore-bridge.html?searchResultPosition=24,April 17
Baltimore Says Owner of Ship That Hit Key Bridge Was Negligent,The owner and manager of the cargo ship that downed the Francis Scott Key Bridge asked a judge to exonerate them from liability. The city argued otherwise.,https://www.nytimes.com/2024/04/23/us/baltimore-key-bridge-collapse-ship.html?searchResultPosition=25,April 23
"To Save the Panama Canal From Drought, a Disruptive Fix","In the wake of a drought that hampered shipping, the Panama Canal’s overseers are eager to expand water storage. Climate change leaves them no choice.",https://www.nytimes.com/2024/08/14/business/panama-canal-drought.html?searchResultPosition=26,Aug. 14
Another Wayward Container Ship Shows World Trade’s Fragility,"The destruction of a Baltimore bridge is hampering a busy port, adding to the strains confronting the global supply chain.",https://www.nytimes.com/2024/03/27/business/economy/container-ship-global-trade.html?searchResultPosition=27,March 27
California Pushes Electric Trucks as the Future of Freight,A mainstay of cargo transport will be phased out at ports as California bans new registrations of carbon-fuel trucks in favor of nonpolluting ones.,https://www.nytimes.com/2023/12/28/business/energy-environment/electric-trucks-port-california.html?searchResultPosition=28,"Dec. 28, 2023"
Here is the latest on the bridge collapse.,,https://www.nytimes.com/live/2024/03/28/us/baltimore-key-bridge-collapse/here-is-the-latest?searchResultPosition=29,March 28
Biden Tells Baltimore: ‘Your Nation Has Your Back’,President Biden took an aerial tour of the site of the collapsed Francis Scott Key Bridge and met with the families of the six victims. The authorities later announced the recovery of a third body.,https://www.nytimes.com/2024/04/05/us/politics/biden-baltimore-bridge.html?searchResultPosition=30,April 5
Ukraine Strikes More Russian Oil Facilities in a Bid to Disrupt Military Logistics,"Analysts say Ukraine is trying to disrupt the Russian military’s logistical routes and combat operations by targeting the facilities that supply fuel for its tanks, ships and fighter jets.",https://www.nytimes.com/2024/05/09/world/europe/ukraine-strikes-russia-oil-refineries.html?searchResultPosition=31,May 9
Who Will Pay for the Baltimore Bridge Collapse?,Disputes over liability and the cost of claims could take years for insurers to resolve and result in billions of dollars in payouts.,https://www.nytimes.com/2024/04/05/business/baltimore-bridge-cost-insurance.html?searchResultPosition=32,April 5
‘It’s All Happening Again.’ The Supply Chain Is Under Strain.,"As Houthi rebels intensify strikes on vessels headed for the Suez Canal, global shipping prices are soaring, raising fears of product shortages and delays.",https://www.nytimes.com/2024/06/24/business/global-shipping-rates.html?searchResultPosition=33,June 24
"To the Sound of Gunshots, Haiti Installs a New Ruling Council","With that body in place, Prime Minister Ariel Henry resigned and the new leaders turned to the task of establishing order in a gang-ridden country.",https://www.nytimes.com/2024/04/25/world/americas/haiti-council-gangs-henry.html?searchResultPosition=34,April 25
"Blocked by Polish Truckers, Ukraine Turns to the Black Sea to Boost Trade",The blockade at the border with Poland has crippled Ukraine’s land trade. But a new Black Sea route is providing an economic lifeline.,https://www.nytimes.com/2023/12/20/world/europe/blocked-by-polish-truckers-ukraine-turns-to-the-black-sea-to-boost-trade.html?searchResultPosition=35,"Dec. 20, 2023"
Baltimore Bridge Collapse Upends Traffic in Busy Industrial Area,"The collapse severs the southern stretch of Interstate 695, a critical portion of the Baltimore Beltway that runs through the areas around the port.",https://www.nytimes.com/2024/03/26/us/i-695-baltimore-bridge-collapse-traffic.html?searchResultPosition=36,March 26
"Israeli jets hit an UNRWA compound near Gaza City, and other news.",,https://www.nytimes.com/live/2024/06/23/world/israel-gaza-war-hamas/a-drone-attack-damages-a-ship-in-the-red-sea-and-other-news?searchResultPosition=37,June 23
Chinese Traders and Moroccan Ports: How Russia Flouts Global Tech Bans,"Using specialized e-commerce sites, secretive shipping workarounds and a constellation of middlemen, Russia has obtained the tech components it needs to keep its economy and war in Ukraine going.",https://www.nytimes.com/2023/12/19/technology/russia-flouts-global-tech-bans.html?searchResultPosition=38,"Dec. 19, 2023"
"U.S. Bridges Face ‘Increased Risks’ From Large Ships, Coast Guard Says",A Coast Guard leader told Congress that bridges around the country needed to be assessed to avoid repeating the crash that knocked down the Key Bridge in Baltimore.,https://www.nytimes.com/2024/05/15/us/baltimore-key-bridge-collapse-congress-hearing.html?searchResultPosition=39,May 15
Stuck Ships and Supply-Chain Inflation,"Baltimore alone isn’t that big a deal, but is it an omen?",https://www.nytimes.com/2024/04/02/opinion/baltimore-bridge-inflation-supply-chain.html?searchResultPosition=40,April 2
Buttigieg Calls on Congress for More Money to Collapsed Baltimore Bridge,"Mr. Buttigieg, the transportation secretary, was joined by the Baltimore mayor and Maryland governor in describing the collapse as a matter of national importance.",https://www.nytimes.com/2024/03/31/us/politics/buttigieg-congress-baltimore-bridge.html?searchResultPosition=41,March 31
Red Sea Attacks Leave Shipping Companies With Difficult Choices,Attacks on two dozen ships since November are forcing shipping lines to figure out whether and when to skip the Suez Canal and send vessels on longer voyages around Africa.,https://www.nytimes.com/2024/01/06/business/red-sea-shipping-houthi.html?searchResultPosition=42,Jan. 6
BP Pauses Oil Shipments Through Red Sea Amid Fears of Attacks,"Global energy prices jumped as tensions escalated around the vital shipping route, where drone and missile assaults have prompted some companies to halt sending cargos.",https://www.nytimes.com/2023/12/18/world/middleeast/bp-red-sea-oil-shipping.html?searchResultPosition=43,"Dec. 18, 2023"
"Powerful Earthquake Hits Japan, and Officials Warn of Aftershocks","There were reports of collapsed buildings and people being trapped underneath them. The quake disrupted electricity and phone service, and initially raised fears of a tsunami.",https://www.nytimes.com/2024/01/01/world/asia/japan-earthquake.html?searchResultPosition=44,Jan. 1
Off-Duty Pilot Accused of Trying to Cut the Engines on an Alaska Airlines Flight,"The flight was diverted to Portland, Ore., because of a “credible security threat” inside the cockpit, the airline said. An off-duty pilot was charged with attempted murder.",https://www.nytimes.com/2023/10/23/us/alaska-airlines-flight-diverted.html?searchResultPosition=45,"Oct. 23, 2023"
The Indian Navy releases images of its rescue mission after a lethal Houthi attack on a vessel off Yemen.,,https://www.nytimes.com/live/2024/03/08/world/israel-hamas-war-gaza-news/the-indian-navy-releases-images-of-its-rescue-mission-after-a-lethal-houthi-attack-on-a-vessel-off-yemen?searchResultPosition=46,March 7
Here is the latest on the collapse.,,https://www.nytimes.com/live/2024/03/27/us/baltimore-key-bridge-collapse/here-is-the-latest-on-the-collapse?searchResultPosition=47,March 27
"Virus Disrupts China’s Shipping, and World Ports Feel the Impact","Even where factories are back in operation, getting freight to docks has been impeded by roadblocks and quarantines.",https://www.nytimes.com/2020/02/27/business/economy/china-coronavirus-shipping-ports.html?searchResultPosition=48,"Feb. 27, 2020"
Northeast Corridor Train Service Resumes Following Overnight Meltdown,"Fallen electrical wires in New Jersey brought Amtrak and New Jersey Transit service to a halt on the Northeast Corridor Wednesday night, and transit agencies warned of delays into Thursday.",https://www.nytimes.com/2024/05/22/nyregion/amtrak-nj-transit-trains-suspended.html?searchResultPosition=49,May 22
The Supreme Court overhaul led to months of street protests in Israel.,,https://www.nytimes.com/live/2024/01/01/world/israel-supreme-court-gaza-news/the-supreme-court-overhaul-led-to-months-of-street-protests-in-israel?searchResultPosition=50,Jan. 1
The collapse is unlikely to affect Baltimore’s vital seafood industry.,,https://www.nytimes.com/live/2024/04/05/us/biden-baltimore-bridge/the-collapse-is-unlikely-to-affect-baltimores-vital-seafood-industry?searchResultPosition=51,March 28
Crunch at Ports May Mean Crisis for American Farms,"Backlogs and cancellations are hitting growers as costs rise, profits slump and overseas customers shop elsewhere.",https://www.nytimes.com/2021/11/14/business/economy/farm-exports-supply-chain-ports.html?searchResultPosition=52,"Nov. 14, 2021"
U.S. Treasury sanctions seek to financially cripple the Yemeni rebels attacking Red Sea shipping.,,https://www.nytimes.com/live/2024/07/18/world/israel-gaza-war-hamas/us-treasury-sanctions-seek-to-financially-cripple-the-yemeni-rebels-attacking-red-sea-shipping?searchResultPosition=53,July 18
Chinese port difficulties amid a Covid outbreak further snarl global trade.,"The Shenzhen port’s capacity to handle containers plummeted early this month, and state-controlled media said on Monday that full recovery might require the rest of June.",https://www.nytimes.com/2021/06/21/business/shenzhen-port-delays.html?searchResultPosition=54,"June 21, 2021"
Deadly Storm Ciarán Lashes U.K. and Western Europe With Strong Rain and Wind,"With winds expected to exceed 85 miles per hour in some areas, Britain’s weather agency issued its second-highest level of alert for parts of southern England.",https://www.nytimes.com/2023/11/02/world/europe/storm-ciaran.html?searchResultPosition=55,"Nov. 2, 2023"
"Biden and Harris call Israeli leader as talks remain stalled, and other news.",,https://www.nytimes.com/live/2024/08/21/world/israel-iran-hamas-gaza-war/protesters-tell-netanyahu-to-make-a-hostage-deal-and-other-news?searchResultPosition=56,Aug. 21
U.S. Navy airlifts crew of merchant ship hit by the Houthis.,,https://www.nytimes.com/live/2024/06/16/world/israel-gaza-war-hamas/us-navy-airlifts-crew-of-merchant-ship-hit-by-the-houthis?searchResultPosition=57,June 16
West Coast Dockworkers Reach Contract Deal With Port Operators,"After a year of prolonged negotiations that have led to delays and declines in cargo, the two sides agreed to a new contract with help from the Biden administration.",https://www.nytimes.com/2023/06/14/business/economy/west-coast-dock-workers-contract.html?searchResultPosition=58,"June 14, 2023"
"Tropical Depression Jongdari Nears South Korea, Bringing Threat of Flooding",The storm has caused flight cancellations in the country’s south. It is forecast to skirt the west coast before making landfall on Wednesday near Seoul.,https://www.nytimes.com/2024/08/20/world/asia/south-korea-typhoon-jongdari.html?searchResultPosition=59,Aug. 20
Ukraine’s Black Sea ports resume operations after Russian strikes on Odesa.,"Grain traffic from the three ports was restored by Tuesday, after weekend drone strikes disrupted power throughout the Odesa region.",https://www.nytimes.com/live/2022/12/14/world/russia-ukraine-news/ukraine-russia-odesa-ports?searchResultPosition=60,"Dec. 13, 2022"
Tensions Spilling Over From Gaza to Red Sea Escalate,"Britain said that one of its warships had shot down a suspected attack drone, and several shipping companies have temporarily stopped sending vessels through the Red Sea.",https://www.nytimes.com/2023/12/16/world/middleeast/israel-gaza-war-red-sea-houthis-shipping.html?searchResultPosition=61,"Dec. 16, 2023"
"Atmospheric River Drenches California, With More Storms on the Way","The state’s latest powerful storm has downed trees and flooded some roads, but has not yet caused the scale of disruption seen last winter.",https://www.nytimes.com/2024/02/01/us/california-storm-atmospheric-river.html?searchResultPosition=62,Feb. 1
The Floating Traffic Jam That Freaked Us All Out,The coronavirus pandemic schooled the world in the essential role of global supply chains. Have we learned anything from it?,https://www.nytimes.com/2024/06/02/business/economy/covid-pandemic-global-supply-chains.html?searchResultPosition=63,June 2
Supply chain disruptions continued to fuel price increases in October.,Prices surged for everything from car parts to clothing as ongoing supply chain snarls continued to exacerbate inflation.,https://www.nytimes.com/live/2021/11/10/business/news-business-stock-market/supply-chain-price-increases-october?searchResultPosition=64,"Nov. 10, 2021"
The prospect of lockdowns in Beijing fuels more concerns about supply chain disruptions.,"China’s capital city is not as central to global production networks as Shanghai, but the costs for global companies will still mount if lockdowns spread.",https://www.nytimes.com/2022/04/25/business/china-supply-chain-covid.html?searchResultPosition=65,"April 25, 2022"
"U.S. Conducted Cyberattack Against Iranian Military Ship, an Official Says",The move was part of the Biden administration’s retaliation to a drone attack at an outpost in Jordan that killed 3 Americans.,https://www.nytimes.com/2024/02/15/world/middleeast/us-cyberattack-iran-ship.html?searchResultPosition=66,Feb. 15
"Russian Missile Strikes Kill at Least 20 in Odesa, Ukraine Says","Two missiles hit the same spot, Ukrainian authorities said, killing some rescuers who had responded to the first attack.",https://www.nytimes.com/2024/03/15/world/europe/ukraine-russia-odesa-missile-strikes.html?searchResultPosition=67,March 15
Francine Arrives in a Region With Painful Memories of Past Storms,"Francine could cut a somewhat similar path as Hurricane Ida, which left a trail of devastating consequences in 2021.",https://www.nytimes.com/2024/09/11/weather/francine-hurricane-ida.html?searchResultPosition=68,Sept. 11
The Great Supply Chain Disruption,The supply chain crisis triggered by the pandemic was supposed to be over by now. It’s not.,https://www.nytimes.com/2021/10/15/podcasts/the-daily/supply-chain.html?searchResultPosition=69,"Oct. 15, 2021"
"Struggling on Front Lines, Ukraine Strikes Harder at Russian Energy","A huge drone attack targeted southwestern Russia and the Russian-occupied peninsula of Crimea, hitting oil facilities and a substation, leading to rolling blackouts.",https://www.nytimes.com/2024/05/17/world/europe/sevastopol-ukraine-crimea-russia.html?searchResultPosition=70,May 17
The Great Supply Chain Disruption,The supply chain crisis triggered by the pandemic was supposed to be over by now. It’s not.,https://www.nytimes.com/2021/10/15/podcasts/the-daily/supply-chain.html?searchResultPosition=71,"Oct. 15, 2021"
"American Airlines, Other Major Airlines Suspend Flights to Israel",Government agencies across the globe have also urged airlines to exercise caution when flying in Israeli airspace.,https://www.nytimes.com/2023/10/10/world/middleeast/airlines-flights-israel.html?searchResultPosition=72,"Oct. 10, 2023"
A Solar Storm Lights Up the Night Sky,The unusual sight of aurora borealis was visible around the world.,https://www.nytimes.com/2024/05/10/world/europe/aurora-northern-lights-solar-storm-photos.html?searchResultPosition=73,May 10
China’s Covid lockdowns are set to further disrupt global supply chains.,,https://www.nytimes.com/live/2022/03/15/world/covid-19-mandates-cases-vaccine/chinas-covid-lockdowns-are-set-to-further-disrupt-global-supply-chains?searchResultPosition=74,"March 15, 2022"
A fire burning out of control at a Turkish port threatens to hamper relief efforts.,,https://www.nytimes.com/live/2023/02/07/world/turkey-syria-earthquake/a-fire-burning-out-of-control-at-a-turkish-port-threatens-to-hamper-relief-efforts?searchResultPosition=75,"Feb. 7, 2023"
Return to Haiti of a Coup Leader Raises Concerns of More Turmoil,"Guy Philippe, who helped lead the coup that ousted President Jean-Bertrand Aristide in 2004, is back in the politically unstable country after serving time in a U.S. prison.",https://www.nytimes.com/2023/11/30/world/americas/guy-philippe-haiti-return.html?searchResultPosition=76,"Nov. 30, 2023"
‘It’s Not Sustainable’: What America’s Port Crisis Looks Like Up Close,An enduring traffic jam at the Port of Savannah reveals why the chaos in global shipping is likely to persist.,https://www.nytimes.com/2021/10/11/business/supply-chain-crisis-savannah-port.html?searchResultPosition=77,"Oct. 10, 2021"
Drones Target Sudan Army Base During Top General’s Visit,"For 15 months, Gen. Abdel Fattah al-Burhan has been leading a war for control of the country against his rival, Lt. Gen. Mohamed Hamdan, the head of the paramilitary Rapid Support Forces.",https://www.nytimes.com/2024/07/31/world/africa/sudan-assasination-attempt-general-burhan.html?searchResultPosition=78,July 31
The Agriculture Department aims to ease port congestion by adding capacity.,,https://www.nytimes.com/live/2022/01/31/business/stock-market-economy-news/the-agriculture-department-aims-to-ease-port-congestion-by-adding-capacity?searchResultPosition=79,"Jan. 31, 2022"
Protesting workers in Trieste block some access to a busy port.,,https://www.nytimes.com/live/2021/10/15/world/italy-covid-green-pass/protesting-workers-in-trieste-block-some-access-to-a-busy-port?searchResultPosition=80,"Oct. 15, 2021"
Rising Discipline Problems in Schools: Another Sign of Pandemic’s Toll,"Incidents of student misconduct have risen in New York City since pandemic disruptions, though serious crimes in schools have decreased.",https://www.nytimes.com/2024/03/20/nyregion/safety-incidents-nyc-schools-police-discipline.html?searchResultPosition=81,March 20
Houthi militants claim a hit on an oil tanker off Yemeni coast that set it on fire.,,https://www.nytimes.com/live/2024/01/26/world/israel-hamas-gaza-news/houthis-claim-a-hit-on-an-oil-tanker-off-yemeni-coast-that-set-it-on-fire?searchResultPosition=82,Jan. 26
"Cyclone Remal Tears Through India and Bangladesh, Killing at Least 23","The storm, the first of the season, hit the South Asian countries after weeks of intense heat. Millions were left without power.",https://www.nytimes.com/2024/05/28/world/asia/cyclone-remal-bangladesh-india.html?searchResultPosition=83,May 28
Biden Casts Inflation as a Global Problem During a Visit to the Port of Los Angeles,The visit to the nation’s busiest entry point for goods comes as President Biden struggles to show progress on resolving supply chain issues that are fueling inflation.,https://www.nytimes.com/2022/06/10/us/politics/biden-inflation.html?searchResultPosition=84,"June 10, 2022"
Suspicious Package Near Port Authority Bus Terminal Disrupts Travel,The package caused the New York Police Department to briefly evacuate and close some entrances to the Manhattan terminal.,https://www.nytimes.com/2015/11/26/nyregion/suspicious-package-near-port-authority-bus-terminal-disrupts-travel.html?searchResultPosition=85,"Nov. 25, 2015"
The Death of Globalization? You Won’t Find It in New Orleans.,The city that was once the world’s gateway to America is betting it can win in a new and different era of global integration.,https://www.nytimes.com/2023/01/20/business/economy/globalization-new-orleans.html?searchResultPosition=86,"Jan. 20, 2023"
Two shipping giants stop sending vessels through the Red Sea after Houthi attacks.,,https://www.nytimes.com/live/2023/12/15/world/israel-hamas-war-gaza-news/houthi-ships-attack-red-sea?searchResultPosition=87,"Dec. 15, 2023"
The Fed says supply chain disruptions could prolong rapid inflation.,The invasion of Ukraine threatens to push up inflation just as the Fed is trying to drive it down.,https://www.nytimes.com/live/2022/03/16/business/fed-meeting-interest-rates/the-fed-says-supply-chain-disruptions-could-prolong-rapid-inflation?searchResultPosition=88,"March 16, 2022"
Wheat prices remain high as concern grows about Black Sea instability and disruption to the grain supply.,"There’s a robust supply of grain globally, but a long-term disruption to exports from Ukraine and a reliance on fewer countries for grain could cause prices to become more volatile.",https://www.nytimes.com/2023/07/20/business/economy/black-sea-grain.html?searchResultPosition=89,"July 20, 2023"
Strikes in recent days disrupt Crimea’s sense of security.,,https://www.nytimes.com/live/2022/08/20/world/ukraine-russia-news-war/strikes-in-recent-days-disrupt-crimeas-sense-of-security?searchResultPosition=90,"Aug. 20, 2022"
Wheat prices remain high as concern grows about Black Sea instability and disruption to the grain supply.,"There’s a robust supply of grain globally, but a long-term disruption to exports from Ukraine and a reliance on fewer countries for grain could cause prices to become more volatile.",https://www.nytimes.com/2023/07/20/business/economy/black-sea-grain.html?searchResultPosition=91,"July 20, 2023"
Strikes in recent days disrupt Crimea’s sense of security.,,https://www.nytimes.com/live/2022/08/20/world/ukraine-russia-news-war/strikes-in-recent-days-disrupt-crimeas-sense-of-security?searchResultPosition=92,"Aug. 20, 2022"
Thousands Wait at Ukraine Border After Polish Truckers Blockade It,"As drivers protested what they say is unfair competition from their Ukrainian counterparts, the waiting time at one checkpoint was estimated to be seven days.",https://www.nytimes.com/2023/11/10/world/europe/poland-ukraine-truckers-border.html?searchResultPosition=93,"Nov. 10, 2023"
"Orcas Sink Another Boat Near Iberia, Worrying Sailors Before Summer","Two people were rescued on Sunday after orcas damaged their boat near the Strait of Gibraltar, where the animals have caused havoc in recent years.",https://www.nytimes.com/2024/05/14/world/europe/orcas-sink-yacht-strait-of-gibraltar.html?searchResultPosition=94,May 14
G.M. cancels shifts at a Michigan plant as protests spread disruption.,Ford Motor and Toyota have also shut down some operations because factories could not get parts made in Canada.,https://www.nytimes.com/2022/02/10/world/canada/canada-protests-autos.html?searchResultPosition=95,"Feb. 10, 2022"
How Columbia Sportswear Is Loosening Its Ties to Asia,"Confronted with the U.S.-China trade war and disruptions in the shipping industry, the company is shifting some production to Central America.",https://www.nytimes.com/2023/10/24/business/columbia-sportswear-nearshoring-central-america.html?searchResultPosition=96,"Oct. 24, 2023"
Some Italian unions and associations see big disruptions ahead.,,https://www.nytimes.com/live/2021/10/15/world/italy-covid-green-pass/some-unions-and-associations-see-big-disruptions-ahead?searchResultPosition=97,"Oct. 15, 2021"
Canadian Government Orders Arbitration and End to Rail Freight Shutdown,"The shutdown had threatened to disrupt trade with the United States and other countries, as well as cause serious economic consequences in Canada.",https://www.nytimes.com/2024/08/22/world/canada/canada-freight-trains.html?searchResultPosition=98,Aug. 22
"What to Know About Novorossiysk, the Russian Port Attacked by Ukraine","The seaport is one of Russia’s largest by volume and among the biggest in Europe, crucial to the export of Russian grain, oil, and other products to countries around the world.",https://www.nytimes.com/2023/08/04/world/europe/novorossiysk-attack-russia-black-sea.html?searchResultPosition=99,"Aug. 4, 2023"
Blinken Meets With Mexico’s President About Surge in Migration at the Border,Secretary of State Antony J. Blinken’s meeting with President Andrés Manuel López Obrador comes as border crossings have reached record numbers and as a migrant caravan heads toward the United States.,https://www.nytimes.com/2023/12/27/us/politics/blinken-mexico-migrant-caravan.html?searchResultPosition=100,"Dec. 27, 2023"
"Crew Rescued, but Oil Tanker Attacked in Red Sea Is an ‘Environmental Hazard’",The incident appeared to be the most serious in weeks involving commercial shipping off Yemen’s coast. It was not clear whether any oil was leaking.,https://www.nytimes.com/2024/08/22/world/middleeast/red-sea-oil-tanker-missiles.html?searchResultPosition=101,Aug. 22
First Cruise: Preparations for a Smooth Sailing,"What a first-time passenger needs to know about booking popular excursions, avoiding huge bills for drinks, and how to find your way around on a labyrinthine ship.",https://www.nytimes.com/2023/11/29/travel/first-time-cruise-passengers-what-to-know.html?searchResultPosition=102,"Nov. 29, 2023"
Netanyahu portrayed Iran as the main threat to Israel. Here is some context.,,https://www.nytimes.com/live/2024/07/24/world/israel-gaza-war-hamas-netanyahu/netanyahu-portrayed-iran-as-the-main-threat-to-israel-here-is-some-context?searchResultPosition=103,July 24
How to Make the Audio in Your Projects Sound Better,"The right hardware and software — combined with time to learn — can improve the soundtrack in your videos, podcasts and other creative endeavors.",https://www.nytimes.com/2023/10/04/technology/personaltech/get-started-with-audio-editing.html?searchResultPosition=104,"Oct. 4, 2023"
"Britain’s Ports Are Jammed, and Brexit Is Around the Corner",Honda’s plant in England was forced to halt operations because its parts hadn’t arrived. Soon U.K. ports will face a mountain of customs declarations.,https://www.nytimes.com/2020/12/09/business/britain-ports-brexit.html?searchResultPosition=105,"Dec. 9, 2020"
Truckers’ protests over a labor law block access to Oakland’s port.,The truckers say they’re concerned that a law classifying many freelance workers as employees could hurt their ability to operate independently.,https://www.nytimes.com/2022/07/21/business/economy/port-oakland-truckers-protest.html?searchResultPosition=106,"July 21, 2022"
"A fire broke out at Novorossiysk, a key Russian port on the Black Sea.",,https://www.nytimes.com/live/2023/08/18/world/russia-ukraine-news-war/a-fire-broke-out-at-novorossiysk-a-key-russian-port-on-the-black-sea?searchResultPosition=107,"Aug. 18, 2023"
